State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
UttarPradesh,All 74 scheduled employments,Unskilled,,,01-10-2025,26-09-2025,423.88,11021,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f82dbaa3e40541859a8388b2eee134a5.pdf,
UttarPradesh,All 74 scheduled employments,Semiskilled,,,01-10-2025,26-09-2025,466.26,12123,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f82dbaa3e40541859a8388b2eee134a5.pdf,
UttarPradesh,All 74 scheduled employments,Skilled,,,01-10-2025,26-09-2025,522.3,13580,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f82dbaa3e40541859a8388b2eee134a5.pdf,
