State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Assam,All Scheduled Employments (46 schedules),Unskilled,,,01-06-2024 00:00,12-01-2025 00:00,389.95,10138.75,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_46720e2e719a404e8c626ad8a03991f8.pdf,Same wage in all 46 scheduled employments
Assam,All Scheduled Employments (46 schedules),Semi-Skilled / Unskilled Supervisory,,,01-06-2024 00:00,12-01-2025 00:00,453.28,11785.35,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_46720e2e719a404e8c626ad8a03991f8.pdf,Same wage in all 46 scheduled employments
Assam,All Scheduled Employments (46 schedules),Skilled/Clerical,,,01-06-2024 00:00,12-01-2025 00:00,566.64,14732.64,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_46720e2e719a404e8c626ad8a03991f8.pdf,Same wage in all 46 scheduled employments
Assam,All Scheduled Employments (46 schedules),Highly skilled,,,01-06-2024 00:00,12-01-2025 00:00,728.51,18941.28,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_46720e2e719a404e8c626ad8a03991f8.pdf,Same wage in all 46 scheduled employments
