State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Jammu & Kashmir,Employments specified in Annexure A,Unskilled,,,17-10-2022,12-10-2022,311,8086,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_63dd5fd847934d618f6301bc4d3b900e.pdf,
Jammu & Kashmir,Employments specified in Annexure A,Semi-Skilled,Semi-skilled,,17-10-2022,12-10-2022,400,10400,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_63dd5fd847934d618f6301bc4d3b900e.pdf,
Jammu & Kashmir,Employments specified in Annexure A,Skilled,,,17-10-2022,12-10-2022,483,12558,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_63dd5fd847934d618f6301bc4d3b900e.pdf,
Jammu & Kashmir,Employments specified in Annexure A,Highly Skilled,Highly skilled,,17-10-2022,12-10-2022,552,14352,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_63dd5fd847934d618f6301bc4d3b900e.pdf,
Jammu & Kashmir,Employments specified in Annexure A,Administrative/Ministerial,,,17-10-2022,12-10-2022,449,11674,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_63dd5fd847934d618f6301bc4d3b900e.pdf,
