State,Scheduled employment,Category,Category details,Effective from,Notification date,Daily rate,Monthly rate,PDF URL,Notes
WestBengal,"Hotels and Restaurants, Boarding Houses",Semi-skilled,,01-07-2025,17-06-2025,413,10733,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,"Hotels and Restaurants, Boarding Houses",Skilled,,01-07-2025,17-06-2025,454,11807,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,"Hotels and Restaurants, Boarding Houses",Highly Skilled,,01-07-2025,17-06-2025,500,12990,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Leather Goods Manufactory,Unskilled,,01-07-2025,17-06-2025,397,10329,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Leather Goods Manufactory,Semi-skilled,,01-07-2025,17-06-2025,437,11363,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Leather Goods Manufactory,Skilled,,01-07-2025,17-06-2025,481,12499,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Leather Goods Manufactory,Highly Skilled,,01-07-2025,17-06-2025,529,13748,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Leather Goods Manufactory,Unskilled,,01-07-2025,17-06-2025,375,9760,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Leather Goods Manufactory,Semi-skilled,,01-07-2025,17-06-2025,413,10733,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Leather Goods Manufactory,Skilled,,01-07-2025,17-06-2025,454,11807,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Leather Goods Manufactory,Highly Skilled,,01-07-2025,17-06-2025,500,12990,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Loading and Unloading Operations,Unskilled,,01-07-2025,17-06-2025,397,10329,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Loading and Unloading Operations,Semi-skilled,,01-07-2025,17-06-2025,437,11363,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Loading and Unloading Operations,Skilled,,01-07-2025,17-06-2025,481,12499,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Loading and Unloading Operations,Highly Skilled,,01-07-2025,17-06-2025,529,13748,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Loading and Unloading Operations,Unskilled,,01-07-2025,17-06-2025,375,9760,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Loading and Unloading Operations,Semi-skilled,,01-07-2025,17-06-2025,413,10733,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Loading and Unloading Operations,Skilled,,01-07-2025,17-06-2025,454,11807,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,Loading and Unloading Operations,Highly Skilled,,01-07-2025,17-06-2025,500,12990,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,"Malls, Multiplexes, Departmental Stores",Unskilled,,01-07-2025,17-06-2025,397,10329,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,"Malls, Multiplexes, Departmental Stores",Semi-skilled,,01-07-2025,17-06-2025,437,11363,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
WestBengal,"Malls, Multiplexes, Departmental Stores",Skilled,,01-07-2025,17-06-2025,481,12499,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_f8cb09668f9f4d6393a21ab6bf1dd0ef.pdf,
