State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Delhi,All Scheduled Employments,Unskilled,,,2025-04-15,NaT,710.0,18456.0,,
Delhi,All Scheduled Employments,Semi-Skilled,,,2025-04-15,NaT,784.0,20371.0,,
Delhi,All Scheduled Employments,Skilled,,,2025-04-15,NaT,862.0,22411.0,,
Delhi,All Scheduled Employments,Clerical / Supervisory,Clerical and Supervisory- Non Matriculate,,2025-04-15,NaT,784.0,20371.0,,
Delhi,All Scheduled Employments,Clerical / Supervisory,"Clerical and Supervisory- Matriculate, not graduate",,2025-04-15,NaT,862.0,22411.0,,
Delhi,All Scheduled Employments,Clerical / Supervisory,Clerical and Supervisory- Graduate,,2025-04-15,NaT,937.0,24356.0,,
