State,Scheduled employment,Category,Category details,Effective from,Notification date,Daily rate,Monthly rate,PDF URL,Notes
Rajasthan,Minimum Wages for Scheduled Employments,Unskilled,"Beldar, Chowkidar, Jamadar, Helper, Sweeper, Farrash, Mali, Ayah, Peon, Gangman, Khalasi, Cattle Attendant, Cycle rider, Messenger, Main boatman, Pump operator, Sanitary, Jamadar, Chaprasi, Key keeper, Sprayman, Gauge reader, Jari worker, Feeder, Loader, Bag carrier, Rope carrier, Spinning helper, Press helper, Bag lifter, Labourer, Watchman, Dogman, Wool twine spinner, Ribbon machine helper, Hopperman, Press loader, Twining worker, Wool carrier. Bottle carrier, Rice carrier, Rope man, Charkha spinner, Paper lifter, Post boy, Attendant-cleaner, Rope man, Crane man, Gate keeper, Dumper lifter, Grounder carrier, Hand carrier, Grain bag carrier, Grain bag stretcher, Wool washing man, Stretcher, Wool sorter, Beers sorter, Gate keeper, Vegetable cutter, Delivery boy, Cart roller, Wagon, Sifter, Pumpman, Tent installer, Corn feeder worker, Desk and shoper, carrier, Hamal,, pinner",01-01-2023,13-12-2024,285,7410,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_e48adf56517b4c239a8ef2e47c02c8e9.pdf,
Rajasthan,Minimum Wages for Scheduled Employments,,,01-01-2023,13-12-2024,297,7722,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_e48adf56517b4c239a8ef2e47c02c8e9.pdf,
Rajasthan,Minimum Wages for Scheduled Employments,,,01-01-2023,13-12-2024,309,8034,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_e48adf56517b4c239a8ef2e47c02c8e9.pdf,
Rajasthan,Minimum Wages for Scheduled Employments,,,01-01-2023,13-12-2024,359,9334,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_e48adf56517b4c239a8ef2e47c02c8e9.pdf,
