State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Bihar,All Scheduled Employments (89 schedules),Unskilled,,,01-10-2025 00:00,24-09-2025 00:00,428,11128,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_b6d98ab5d6e54a99b45bb1fe51f6f15c.pdf,Same wage across 77 scheduled employments
Bihar,All Scheduled Employments (89 schedules),Semiskilled,,,01-10-2025 00:00,24-09-2025 00:00,444,11544,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_b6d98ab5d6e54a99b45bb1fe51f6f15c.pdf,Same wage across 77 scheduled employments
Bihar,All Scheduled Employments (89 schedules),Skilled,,,01-10-2025 00:00,24-09-2025 00:00,541,14066,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_b6d98ab5d6e54a99b45bb1fe51f6f15c.pdf,Same wage across 77 scheduled employments
Bihar,All Scheduled Employments (89 schedules),Highly skilled,,,01-10-2025 00:00,24-09-2025 00:00,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_b6d98ab5d6e54a99b45bb1fe51f6f15c.pdf,Same wage across 77 scheduled employments
