State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Nagaland,All Scheduled Employments (statewide rates),Unskilled,,,14-06-2019,14-06-2019,176,4576,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_566e34c4e56b46a792b4d819494d0b5b.pdf,
Nagaland,All Scheduled Employments (statewide rates),Semi-Skilled,,,14-06-2019,14-06-2019,210,5460,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_566e34c4e56b46a792b4d819494d0b5b.pdf,
Nagaland,All Scheduled Employments (statewide rates),Skilled-II,,,14-06-2019,14-06-2019,235,6110,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_566e34c4e56b46a792b4d819494d0b5b.pdf,
