State,Scheduled employment,Category,Category details,Effective from,Notification date,Daily rate,Monthly rate,PDF URL,Notes
punjab,Minimum Wages for Scheduled Employments,Unskilled,,01-03-2025,16-04-2025,438.06,11389.64,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_743ff04f2df44a49b954f4601af57e27.pdf,
punjab,Minimum Wages for Scheduled Employments,Semi-skilled,,01-03-2025,16-04-2025,468.06,12169.64,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_743ff04f2df44a49b954f4601af57e27.pdf,
punjab,Minimum Wages for Scheduled Employments,Skilled,,01-03-2025,16-04-2025,502.56,13066.64,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_743ff04f2df44a49b954f4601af57e27.pdf,
punjab,Minimum Wages for Scheduled Employments,Highly-skilled,,01-03-2025,16-04-2025,542.25,14098.64,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_743ff04f2df44a49b954f4601af57e27.pdf,
