State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Arunachal Pradesh,General / Not specified,Unskilled,,Area I,01-04-2016 00:00,01-07-2016 00:00,200,6000,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_aad77028e9984bc2b7231f87f4a75256.pdf,Area-wise minimum wages
Arunachal Pradesh,General / Not specified,Semi-Skilled,,Area I,01-04-2016 00:00,01-07-2016 00:00,210,6300,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_aad77028e9984bc2b7231f87f4a75256.pdf,Area-wise minimum wages
Arunachal Pradesh,General / Not specified,Skilled,,Area I,01-04-2016 00:00,01-07-2016 00:00,220,6600,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_aad77028e9984bc2b7231f87f4a75256.pdf,Area-wise minimum wages
Arunachal Pradesh,General / Not specified,Unskilled,,Area II,01-04-2016 00:00,01-07-2016 00:00,220,6600,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_aad77028e9984bc2b7231f87f4a75256.pdf,Area-wise minimum wages
Arunachal Pradesh,General / Not specified,Semi-Skilled,,Area II,01-04-2016 00:00,01-07-2016 00:00,230,6900,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_aad77028e9984bc2b7231f87f4a75256.pdf,Area-wise minimum wages
Arunachal Pradesh,General / Not specified,Skilled,,Area II,01-04-2016 00:00,01-07-2016 00:00,240,7200,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_aad77028e9984bc2b7231f87f4a75256.pdf,Area-wise minimum wages
