State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Goa,Employment in Breweries and Distilleries,Category-IV,Laboratory Assistant; Trainee Lab Chemist; Trainee Operator; Trainee Charge Hand; Gardener; Bottle Washer; Peon; Worker; Watchman,Zone B,01-04-2025,10-04-2025,544,14144,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Breweries and Distilleries,Category-III,Clerk; Electrician; Operator; Store Keeper; Sales Supervisory; Car/Van Driver; Laboratory Technician; Loading Hand; Store Clerk; Assistant Operator; Assistant Air-Conditioner Operator; Welder,Zone B,01-04-2025,10-04-2025,605,15730,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Breweries and Distilleries,Category-II,Machine Operator; Air-conditioning Operator; Fitter Operator; Mechanic; Refrigeration Mechanic; Cashier; Steno-Typist; Accounts Clerk/Driver,Zone B,01-04-2025,10-04-2025,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Breweries and Distilleries,Category-I,Manager; Head Clerk; Accountant; Chemist; Section Head; Sales Supervisor; Head Operator; Head Air-conditioning Operator,Zone B,01-04-2025,10-04-2025,702,18252,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Brick and Tiles Manufacture,Category-IV,Clay Slakers; Helpers; Labourer; Sweeper; Peon; Gardener; Hamal; Worker; Coolie; Office Boy,Zone A,01-04-2025,10-04-2025,544,14144,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Brick and Tiles Manufacture,Category-III,Assistant Supervisor; Assistant Electrician; Assistant Carpenter; Assistant Turner; Assistant Welder; Assistant Machine Operator; Assistant Fitter; Assistant Fireman,Zone A,01-04-2025,10-04-2025,605,15730,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Brick and Tiles Manufacture,Category-II,"Clerk; Commuter; Store Clerk; Store Issue; Accounts Clerk; Store Keeper (Gr. I/II, etc.); Tally Clerk; Time Keeper; Tool Keeper; Telephone Operator; Typist; Computer",Zone A,01-04-2025,10-04-2025,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Brick and Tiles Manufacture,Category-I,Pressman; Mistry; Operator; Machine Operator; Supervisor; Moulder; Machine Mechanic; Mechanic; Tiles Salter; Colour Mixerer; Draftsman; Electrician; Carpenter; Fitter; Turner; Welder; Crusher Operator; Technician,Zone A,01-04-2025,10-04-2025,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Brick and Tiles Manufacture,Category-IV,Clay Slakers; Helpers; Labourer; Sweeper; Peon; Gardener; Hamal; Worker; Coolie; Office Boy,Zone B,01-04-2025,10-04-2025,544,14144,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Brick and Tiles Manufacture,Category-III,Assistant Supervisor; Assistant Electrician; Assistant Carpenter; Assistant Turner; Assistant Welder; Assistant Machine Operator; Assistant Fitter; Assistant Fireman,Zone B,01-04-2025,10-04-2025,605,15730,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Brick and Tiles Manufacture,Category-II,"Clerk; Commuter; Store Clerk; Store Issue; Accounts Clerk; Store Keeper (Gr. I/II, etc.); Tally Clerk; Time Keeper; Tool Keeper; Telephone Operator; Typist; Computer",Zone B,01-04-2025,10-04-2025,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Brick and Tiles Manufacture,Category-I,Pressman; Mistry; Operator; Machine Operator; Supervisor; Moulder; Machine Mechanic; Mechanic; Tiles Salter; Colour Mixerer; Draftsman; Electrician; Carpenter; Fitter; Turner; Welder; Crusher Operator; Technician,Zone B,01-04-2025,10-04-2025,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Cashew Factories and Establishments,Unskilled,Grader (with workload of 100 kg/day); Roaster; Packer; Soldere; Dryer (bhattiwala); Soaker; Carpenter; Stencillor; Bag Carriers; General Workers; Peon; Watchman,Zone A,01-04-2025,10-04-2025,544,14144,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Cashew Factories and Establishments,Skilled,Supervisory (Grading),Zone A,01-04-2025,10-04-2025,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Cashew Factories and Establishments,Clerical (A),Clerk (with S.S.C.E. and above); Typist; Cashier; Storekeeper,Zone A,01-04-2025,10-04-2025,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Cashew Factories and Establishments,Unskilled,Grader (with workload of 100 kg/day); Roaster; Packer; Soldere; Dryer (bhattiwala); Soaker; Carpenter; Stencillor; Bag Carriers; General Workers; Peon; Watchman,Zone B,01-04-2025,10-04-2025,544,14144,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Cashew Factories and Establishments,Skilled,Supervisory (Grading),Zone B,01-04-2025,10-04-2025,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Cashew Factories and Establishments,Clerical (A),Clerk (with S.S.C.E. and above); Typist; Cashier; Storekeeper,Zone B,01-04-2025,10-04-2025,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Cinema Exhibition Industry,Category IV,Door Keeper; Caretaker; Reliever; Lift-man; Watchman; Oilman; Hamal; Helper; Battery Boy; Posterman; Sweeper; Cleaner,Zone A,01-04-2025,10-04-2025,544,14144,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Cinema Exhibition Industry,Category III,Assistant Operator; Assistant Air-Conditioning Operator; Carpenter; Tinsmith; Painter/Artist; Winder/Rewinder/Cabin Boy; Booking Clerk; Assistant Store-keeper,Zone A,01-04-2025,10-04-2025,605,15730,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Cinema Exhibition Industry,Category II,Assistant Manager; Supervisor; Stenographer; Clerk; Telephone Operator; Typist; Wireman; Car/Van Driver; Operator; Electrician; Storekeeper; Store Clerk,Zone A,01-04-2025,10-04-2025,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Cinema Exhibition Industry,Category I,Manager; Head Clerk; Auditor; Head Operator/Chief Operator/First Operator; Head Air-Conditioning Operator,Zone A,01-04-2025,10-04-2025,702,18252,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Cinema Exhibition Industry,Category IV,Door Keeper; Caretaker; Reliever; Lift-man; Watchman; Oilman; Hamal; Helper; Battery Boy; Posterman; Sweeper; Cleaner,Zone B,01-04-2025,10-04-2025,544,14144,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Cinema Exhibition Industry,Category III,Assistant Operator; Assistant Air-Conditioning Operator; Carpenter; Tinsmith; Painter/Artist; Winder/Rewinder/Cabin Boy; Booking Clerk; Assistant Store-keeper,Zone B,01-04-2025,10-04-2025,605,15730,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Cinema Exhibition Industry,Category II,Assistant Manager; Supervisor; Stenographer; Clerk; Telephone Operator; Typist; Wireman; Car/Van Driver; Operator; Electrician; Storekeeper; Store Clerk,Zone B,01-04-2025,10-04-2025,660,17160,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Cinema Exhibition Industry,Category I,Manager; Head Clerk; Auditor; Head Operator/Chief Operator/First Operator; Head Air-Conditioning Operator,Zone B,01-04-2025,10-04-2025,702,18252,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Processing and Canning of Food Stuff including Fish and Beverages,Category-III,Grinder; Mixer; Cleaner/Washer Helper; Peeler; Labourer; Bottle Loading Operator; Gardener; Ice Loader,Zone A,01-04-2025,10-04-2025,544,14144,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
Goa,Employment in Processing and Canning of Food Stuff including Fish and Beverages,Category-II,Junior Mechanic; Assistant Store Keeper; Dealing Boy; Mechanic Operator; Processor; Peeling Mechanic Operator; Machine Operator,Zone A,01-04-2025,10-04-2025,605,15730,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_3e1f6a570801494f80064dcac890c237.pdf,
