State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Dadra and Nagar Haveli and Daman and Diu,All Scheduled Employments,Unskilled,,,01-04-2025,09-05-2025,486.5,12649,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_dd90cbbe8ebc4b97bdae2b0a2315e50e.pdf,
Dadra and Nagar Haveli and Daman and Diu,All Scheduled Employments,Semi-Skilled,,,01-04-2025,09-05-2025,497.5,12935,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_dd90cbbe8ebc4b97bdae2b0a2315e50e.pdf,
Dadra and Nagar Haveli and Daman and Diu,All Scheduled Employments,Skilled,,,01-04-2025,09-05-2025,507.5,13195,https://f1a40278-2118-4c25-abcb-b9aa5dc342d3.usrfiles.com/ugd/f1a402_dd90cbbe8ebc4b97bdae2b0a2315e50e.pdf,
