State,Scheduled Employment,Category,Category Detail,Zone,Effective From,Notification Date,Daily Rate (₹),Monthly Rate (₹),PDF URL,Notes
Chandigarh,All Scheduled Employments,Unskilled,,,2025-04-01,2025-09-03,553.62,14394.0,,
Chandigarh,All Scheduled Employments,Semi-Skilled,,,2025-04-01,2025-09-03,559.38,14544.0,,
Chandigarh,All Scheduled Employments,Semi-Skilled,,,2025-04-01,2025-09-03,563.23,14644.0,,
Chandigarh,All Scheduled Employments,Skilled II,,,2025-04-01,2025-09-03,570.92,14844.0,,
Chandigarh,All Scheduled Employments,Skilled I,,,2025-04-01,2025-09-03,579.58,15069.0,,
Chandigarh,All Scheduled Employments,Highly Skilled,,,2025-04-01,2025-09-03,594.96,15469.0,,
Chandigarh,All Scheduled Employments,Clerical / Supervisory,Class III(Staff),,2025-04-01,2025-09-03,564.19,14669.0,,
Chandigarh,All Scheduled Employments,Clerical / Supervisory,ClassII(Staff),,2025-04-01,2025-09-03,569.96,14819.0,,
Chandigarh,All Scheduled Employments,Clerical / Supervisory,ClassI(Staff),,2025-04-01,2025-09-03,583.81,15179.0,,
